project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
vagrant,BATCH4,4,6,14.084507042253522,2.464788732394366,6104,54.929577464788736,"[3, 2, 2, 5, 4, 6, 4]",284,192.0
vagrant,BATCH4,4,7,17.95774647887324,1.408450704225352,8141,56.33802816901409,"[4, 7, 6, 5]",284,186.0
vagrant,BATCH4,4,8,15.492957746478874,1.7605633802816902,7222,60.563380281690144,"[4, 7, 8, 8, 5]",284,168.0
vagrant,BATCH4,4,9,14.788732394366198,1.7605633802816902,6509,63.38028169014085,"[9, 8, 7, 4, 3]",284,156.0
vagrant,BATCH4,4,10,10.915492957746478,2.464788732394366,5338,67.6056338028169,"[8, 10, 3, 9, 4, 7, 6]",284,138.0
vagrant,BATCH4,4,11,9.507042253521126,2.816901408450704,3666,70.77464788732394,"[5, 7, 2, 8, 8, 6, 9, 12]",284,126.0
vagrant,BATCH4,4,12,11.619718309859154,2.112676056338028,5023,70.4225352112676,"[9, 5, 5, 2, 6, 7]",284,126.0
vagrant,BATCH4,4,13,5.985915492957746,3.1690140845070425,2853,76.05633802816901,"[13, 12, 7, 6, 12, 6, 6, 11, 12]",284,102.0
vagrant,BATCH4,4,14,9.154929577464788,2.464788732394366,4259,74.64788732394366,"[6, 3, 4, 10, 8, 9, 5]",284,108.0
vagrant,BATCH4,4,15,8.80281690140845,2.464788732394366,4049,76.05633802816901,"[3, 8, 7, 14, 4, 6, 13]",284,102.0
vagrant,BATCH4,4,16,10.211267605633802,2.112676056338028,4866,76.05633802816901,"[6, 14, 15, 7, 5, 13]",284,102.0
vagrant,BATCH4,4,17,13.380281690140846,1.408450704225352,5930,74.64788732394366,"[9, 7, 6, 15]",284,108.0
vagrant,BATCH4,4,18,10.211267605633802,2.112676056338028,4096,78.16901408450704,"[12, 5, 10, 4, 10, 12]",284,93.0
vagrant,BATCH4,4,19,4.577464788732394,3.1690140845070425,1786,82.74647887323944,"[15, 10, 17, 6, 12, 8, 3, 14, 12]",284,73.0
vagrant,BATCH4,4,20,9.154929577464788,2.112676056338028,4106,80.28169014084507,"[18, 15, 8, 4, 15, 12]",284,84.0
vagrant,BATCHSTOP4,4,2,31.690140845070424,0.352112676056338,13976,18.309859154929576,[2],284,348.0
vagrant,BATCHSTOP4,4,3,22.887323943661972,1.7605633802816902,10162,32.04225352112676,"[3, 2, 2, 2, 3]",284,289.0
