index,duration,total_builds
8,0,0
16,0,0
24,0,0
32,0,0
40,0,0
48,11211,1
56,9747,2
64,0,0
72,0,0
80,5262,1
88,16717,2
96,9591,1
104,0,0
112,0,0
120,0,0
128,0,0
136,0,0
144,0,0
152,0,0
160,0,0
168,0,0
176,0,0
184,0,0
192,0,0
200,0,0
208,0,0
216,0,0
224,0,0
232,0,0
240,10279,1
248,11431,2
256,0,0
264,0,0
272,0,0
280,0,0
288,0,0
296,0,0
304,22794,3
312,0,0
320,0,0
328,0,0
336,0,0
344,0,0
352,9264,2
360,0,0
368,0,0
376,0,0
384,0,0
392,0,0
400,0,0
408,0,0
416,0,0
424,0,0
432,0,0
440,0,0
448,0,0
456,0,0
464,0,0
472,0,0
480,0,0
488,0,0
496,0,0
504,0,0
512,0,0
520,0,0
528,0,0
536,0,0
544,9393,1
552,5976,1
560,9865,1
568,0,0
576,0,0
584,0,0
592,0,0
600,0,0
608,0,0
616,0,0
624,0,0
632,0,0
640,0,0
648,0,0
656,0,0
664,0,0
672,0,0
680,0,0
688,0,0
696,0,0
704,0,0
712,0,0
720,0,0
728,0,0
736,10388,1
744,0,0
752,0,0
760,11794,1
768,11178,1
776,0,0
784,6151,1
792,0,0
800,10599,1
808,0,0
816,0,0
824,0,0
832,0,0
840,0,0
848,10832,1
856,0,0
864,0,0
872,0,0
880,0,0
888,0,0
896,0,0
904,0,0
912,0,0
920,0,0
928,0,0
936,0,0
944,0,0
952,0,0
960,0,0
968,0,0
976,0,0
984,0,0
992,14561,1
1000,0,0
1008,0,0
1016,0,0
1024,0,0
1032,29157,2
1040,0,0
1048,0,0
1056,0,0
1064,0,0
1072,0,0
1080,0,0
1088,0,0
1096,0,0
1104,0,0
1112,0,0
1120,0,0
1128,0,0
1136,0,0
1144,0,0
1152,0,0
1160,10871,1
1168,0,0
1176,0,0
1184,0,0
1192,0,0
1200,0,0
1208,14639,1
1216,0,0
1224,0,0
1232,0,0
1240,0,0
1248,0,0
1256,25334,2
1264,0,0
1272,19149,1
1280,0,0
1288,0,0
1296,0,0
1304,0,0
1312,0,0
1320,0,0
1328,10085,1
1336,0,0
1344,0,0
1352,0,0
1360,20551,1
1368,0,0
1376,0,0
1384,0,0
1392,22600,2
1400,0,0
1408,0,0
1416,0,0
1424,0,0
1432,18946,1
1440,0,0
1448,19833,1
1456,0,0
1464,10720,1
1472,0,0
