index,duration,total_builds
4,0,0
8,0,0
12,0,0
16,0,0
20,0,0
24,2256,1
28,0,0
32,2546,1
36,0,0
40,0,0
44,0,0
48,0,0
52,0,0
56,0,0
60,4370,2
64,0,0
68,0,0
72,0,0
76,1849,1
80,2051,1
84,0,0
88,0,0
92,0,0
96,2189,1
100,0,0
104,0,0
108,0,0
112,0,0
116,1931,1
120,0,0
124,1929,1
128,0,0
132,0,0
136,0,0
140,0,0
144,0,0
148,0,0
152,0,0
156,0,0
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,0,0
192,0,0
196,0,0
200,0,0
204,0,0
208,0,0
212,0,0
216,0,0
220,0,0
224,0,0
228,0,0
232,2785,1
236,0,0
240,0,0
244,0,0
248,0,0
252,0,0
256,0,0
260,0,0
264,0,0
268,0,0
272,0,0
276,0,0
280,0,0
284,0,0
288,0,0
292,0,0
296,0,0
300,6994,3
304,2188,1
308,0,0
312,0,0
316,0,0
320,0,0
324,0,0
328,0,0
332,0,0
336,0,0
340,0,0
344,0,0
348,0,0
352,0,0
356,0,0
360,2803,1
364,0,0
368,0,0
372,0,0
376,0,0
380,0,0
384,0,0
388,0,0
392,2270,1
396,0,0
400,2396,1
404,0,0
408,0,0
412,0,0
416,0,0
420,0,0
424,0,0
428,2659,1
432,3038,1
436,0,0
440,0,0
444,0,0
448,2280,1
452,0,0
456,2836,1
460,2343,1
464,0,0
468,0,0
472,0,0
476,0,0
480,2551,1
484,2378,1
488,0,0
492,2378,1
496,0,0
500,0,0
504,0,0
508,2202,1
512,0,0
516,0,0
520,0,0
524,0,0
528,0,0
532,0,0
536,0,0
540,0,0
544,0,0
548,0,0
552,0,0
556,0,0
560,0,0
564,0,0
568,2661,1
572,0,0
576,0,0
580,0,0
584,0,0
588,0,0
592,0,0
596,0,0
600,0,0
604,5475,2
608,2828,1
612,0,0
616,2973,1
620,2323,1
624,2554,1
628,0,0
632,0,0
636,5335,2
640,5264,2
644,0,0
648,2305,1
652,2573,1
656,0,0
660,0,0
664,0,0
668,0,0
672,0,0
676,0,0
680,0,0
684,0,0
688,0,0
692,0,0
696,0,0
700,0,0
704,0,0
708,0,0
712,0,0
716,0,0
720,0,0
