project,NB_builds,NB_delay,NB_Batch,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
cloud_controller_ng.csv,0,0,0,75.8893280632411,381.0,4,76.2845849802372,127.0,2,75.8893280632411,381.0,4
open-build-service.csv,0,0,0,62.0171673819743,701.0,4,70.6008583690987,233.0,2,62.0171673819743,701.0,4
orbeon-forms.csv,0,0,0,59.656652360515,351.0,4,67.381974248927,117.0,2,59.656652360515,351.0,4
loomio.csv,0,0,0,62.4390243902439,309.0,4,74.6341463414634,103.0,2,62.4390243902439,309.0,4
jruby.csv,0,0,0,82.3244552058111,621.0,4,84.9878934624697,207.0,2,82.3244552058111,621.0,4
gradle.csv,0,0,0,39.4973070017953,837.0,4,57.2710951526032,279.0,2,39.4973070017953,837.0,4
metasploit-framework.csv,0,0,0,36.9649805447471,1158.0,4,56.2905317769131,386.0,2,36.9649805447471,1158.0,4
cloudify.csv,0,0,0,38.9344262295082,732.0,4,57.3770491803279,244.0,2,38.9344262295082,732.0,4
fog.csv,0,0,0,71.5099715099715,528.0,4,78.0626780626781,176.0,2,71.5099715099715,528.0,4
vagrant.csv,0,0,0,37.6760563380282,426.0,4,56.3380281690141,142.0,2,37.6760563380282,426.0,4
concerto.csv,0,0,0,45.8620689655172,437.0,4,60.3448275862069,145.0,2,45.8620689655172,437.0,4
rubinius.csv,0,0,0,75.9090909090909,330.0,4,81.8181818181818,110.0,2,75.9090909090909,330.0,4
sufia.csv,0,0,0,47.3684210526316,30.0,4,47.3684210526316,30.0,4,47.3684210526316,30.0,4
puppet.csv,0,0,0,31.8840579710145,105.0,4,56.5217391304348,35.0,2,31.8840579710145,105.0,4
sonarqube.csv,0,0,0,54.3333333333333,450.0,4,64.6666666666667,150.0,2,54.3333333333333,450.0,4
graylog2-server.csv,0,0,0,32.1695760598504,603.0,4,53.6159600997506,201.0,2,32.1695760598504,603.0,4
opal.csv,0,0,0,39.2857142857143,336.0,4,58.0357142857143,112.0,2,39.2857142857143,336.0,4
geoserver.csv,0,0,0,94.0476190476191,252.0,4,97.6190476190476,84.0,2,94.0476190476191,252.0,4
rails.csv,0,0,0,60.7989167230873,2217.0,4,70.4807041299932,739.0,2,60.7989167230873,2217.0,4
heroku.csv,0,0,0,47.54,93.0,4,36.07,31.0,2,47.54,93.0,4
